NOMBRE,IDENTIFICACION,SUBTIPO_COMUNACORREGIMIENTO
POPULAR,COMUNA 1,1
SANTA CRUZ,COMUNA 2,1
MANRIQUE,COMUNA 3,1
ARANJUEZ,COMUNA 4,1
CASTILLA,COMUNA 5,1
DOCE DE OCTUBRE,COMUNA 6,1
ROBLEDO,COMUNA 7,1
VILLA HERMOSA,COMUNA 8,1
BUENOS AIRES,COMUNA 9,1
LA CANDELARIA,COMUNA 10,1
LAURELES ESTADIO,COMUNA 11,1
LA AMÉRICA,COMUNA 12,1
SAN JAVIER,COMUNA 13,1
EL POBLADO,COMUNA 14,1
BELÉN,COMUNA 16,1
CORREGIMIENTO DE SAN SEBASTIÁN DE PALMITAS,CORREGIMIENTO 50,2
CORREGIMIENTO DE SAN CRISTÓBAL,CORREGIMIENTO 60,2
CORREGIMIENTO DE ALTAVISTA,CORREGIMIENTO 70,2
CORREGIMIENTO DE SANTA ELENA,CORREGIMIENTO 90,2
,,2
CORREGIMIENTO DE SAN ANTONIO DE PRADO,CORREGIMIENTO 80,2
,,1
GUAYABAL,COMUNA 15,1
